url_path,views_total,views_unique
/ClavelLab/miBC/blob/main/16S_rRNA_gene_sequence/miBC_isolates_16S_rRNA_gene_sequence.fas,4,2
/ClavelLab/miBC/tree/main/16S_rRNA_gene_sequence,3,2
/ClavelLab/miBC,2,2
/ClavelLab/miBC/tree/main/Electron_micrographs,2,2
/ClavelLab/miBC/blob/main/README.md,1,1
/ClavelLab/miBC/blob/main/Supplementary_tables/CHOM-D-22-00416__Supplementary_Table-S1_v3.xlsx,1,1
/ClavelLab/miBC/blob/main/Supplementary_tables/CHOM-D-22-00416__Supplementary_Table-S2_v2.xlsx,1,1
/ClavelLab/miBC/tree/main/Supplementary_tables,1,1
