url_path,views_total,views_unique
/ClavelLab/miBC/blob/main/16S_rRNA_gene_sequence/miBC_isolates_16S_rRNA_gene_sequence.fas,2,2
/ClavelLab/miBC/tree/main/Electron_micrographs,2,2
/ClavelLab/miBC/blob/main/Electron_micrographs/Hominisplanchenecus_murintestinalis%20_DSM111139_a.TIF,2,1
/ClavelLab/miBC/blob/main/Electron_micrographs/Hominisplanchenecus_murintestinalis%20_DSM111139_b.TIF,2,1
/ClavelLab/miBC/tree/main/Protologger_output/DSM110165,2,1
/ClavelLab/miBC,1,1
/ClavelLab/miBC/blob/main/Protologger_output/DSM110165/Galaxy12-%5B16S_rRNA_gene_tree%5D.newick,1,1
/ClavelLab/miBC/blob/main/Supplementary_tables/CHOM-D-22-00416__Supplementary_Table-S1_v3.xlsx,1,1
/ClavelLab/miBC/tree/main/16S_rRNA_gene_sequence,1,1
/ClavelLab/miBC/tree/main/Logo,1,1
