url_path,views_total,views_unique
/NFDI4Microbiota/MetadataStandards/blob/main/Biological_Environmental/Human_BioEnv_Metadata.md,29,5
/NFDI4Microbiota/MetadataStandards,13,9
/NFDI4Microbiota/MetadataStandards/blob/70cbc79c36c1eff6e5d080b38a1dda02336bc130/Technical/Metagenome_Technical_Metadata.md,12,2
/NFDI4Microbiota/MetadataStandards/issues,11,5
/NFDI4Microbiota/MetadataStandards/tree/main/Technical,8,2
/NFDI4Microbiota/MetadataStandards/tree/main/Biological_Environmental,8,1
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Genome_Technical_Metadata.md,4,2
/NFDI4Microbiota/MetadataStandards/blob/main/Biological_Environmental/AnimalAssoc_BioEnv_Metadata.md,4,1
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/uVIGs_Technical_Metadata.md,4,1
/NFDI4Microbiota/MetadataStandards/blob/main/Biological_Environmental/PlantAssoc_BioEnv_Metadata.md,2,1
