url_path,views_total,views_unique
/NFDI4Microbiota/MetadataStandards/tree/main,30,5
/NFDI4Microbiota/MetadataStandards,21,8
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Amplicon_Technical_Metadata.md,20,1
/NFDI4Microbiota/MetadataStandards/tree/main/Technical,12,2
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Metagenome_Technical_Metadata.md,10,2
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Genome_Technical_Metadata.md,8,1
/NFDI4Microbiota/MetadataStandards/issues,6,3
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/BIOM_or_Tabular_Technical_Metadata.md,6,1
/NFDI4Microbiota/MetadataStandards/tree/main/Biological_Environmental,4,2
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Metagenome_Technical_Metadata.tsv,4,1
