url_path,views_total,views_unique
/NFDI4Microbiota/MetadataStandards,21,10
/NFDI4Microbiota/MetadataStandards/tree/main/Biological_Environmental,8,3
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Metabolome_Technical_Metadata.md,8,2
/NFDI4Microbiota/MetadataStandards/tree/main,7,1
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Metabolome_Technical_Metadata.tsv,6,2
/NFDI4Microbiota/MetadataStandards/blob/main/images/Overview24June2022.jpg,4,2
/NFDI4Microbiota/MetadataStandards/tree/main/Technical,4,2
/NFDI4Microbiota/MetadataStandards/blob/main/images/MinimalTechnicalTable_FASTQ.jpg,4,1
/NFDI4Microbiota/MetadataStandards/blob/main/README.md,4,1
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Proteome_Technical_Metadata.md,4,1
