url_path,views_total,views_unique
/NFDI4Microbiota/MetadataStandards,91,11
/NFDI4Microbiota/MetadataStandards/tree/main/Technical,91,5
/NFDI4Microbiota/MetadataStandards/pulls,72,3
/NFDI4Microbiota/MetadataStandards/blob/magelm-patch-issue-40-bio-env-human/Biological_Environmental/Human_BioEnv_Metadata.md,66,2
/NFDI4Microbiota/MetadataStandards/blob/main/Biological_Environmental/Human_BioEnv_Metadata.md,56,3
/NFDI4Microbiota/MetadataStandards/issues,53,7
/NFDI4Microbiota/MetadataStandards/tree/main/Biological_Environmental,47,4
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/uVIGs_Technical_Metadata.md,30,3
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Metabolome_Technical_Metadata.md,28,3
/NFDI4Microbiota/MetadataStandards/edit/magelm-patch-issue-40-bio-env-human/Biological_Environmental/Human_BioEnv_Metadata.md,28,2
