url_path,views_total,views_unique
/NFDI4Microbiota/MetadataStandards,23,16
/NFDI4Microbiota/MetadataStandards/tree/main/Biological_Environmental,10,4
/NFDI4Microbiota/MetadataStandards/tree/main,8,2
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Metabolome_Technical_Metadata.md,5,1
/NFDI4Microbiota/MetadataStandards/blob/main/images/Overview24June2022.jpg,4,2
/NFDI4Microbiota/MetadataStandards/tree/main/Technical,4,2
/NFDI4Microbiota/MetadataStandards/blob/main/images/MinimalTechnicalTable_FASTQ.jpg,4,1
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Metabolome_Technical_Metadata.tsv,4,1
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Proteome_Technical_Metadata.md,4,1
/NFDI4Microbiota/MetadataStandards/commits/main,4,1
