url_path,views_total,views_unique
/NFDI4Microbiota/MetadataStandards,27,7
/NFDI4Microbiota/MetadataStandards/blob/main/Biological_Environmental/AnimalAssoc_BioEnv_Metadata.md,6,2
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Amplicon_Technical_Metadata.md,6,2
/NFDI4Microbiota/MetadataStandards/blob/main/Biological_Environmental/Human_BioEnv_Metadata.md,6,1
/NFDI4Microbiota/MetadataStandards/tree/main/Technical,4,2
/NFDI4Microbiota/MetadataStandards/tree/main/Biological_Environmental,4,1
/NFDI4Microbiota/MetadataStandards/tree/main,3,2
/NFDI4Microbiota/MetadataStandards/blob/main/bibliography_V2.bib,2,1
/NFDI4Microbiota/MetadataStandards/blob/main/README.md,2,1
/NFDI4Microbiota/MetadataStandards/edit/main/README.md,2,1
