time_iso8601,stars_cumulative
2021-04-22 00:00:00+00:00,2
2021-05-22 00:00:00+00:00,3
2021-11-16 00:00:00+00:00,6
2022-01-16 00:00:00+00:00,7
2022-03-03 00:00:00+00:00,8
2022-11-12 00:00:00+00:00,9
2023-05-17 00:00:00+00:00,10
2024-07-05 00:00:00+00:00,11
