url_path,views_total,views_unique
/ClavelLab/genome-assembly,8,5
/ClavelLab/genome-assembly/tree/main/workflow,3,3
/ClavelLab/genome-assembly/blob/main/workflow/rules/assembly.smk,2,2
/ClavelLab/genome-assembly/tree/main/config,2,2
/ClavelLab/genome-assembly/tree/main/workflow/rules,2,2
/ClavelLab/genome-assembly/blob/main/config/config.yaml,1,1
/ClavelLab/genome-assembly/blob/main/config/demo.tsv,1,1
/ClavelLab/genome-assembly/blob/main/config/README.md,1,1
/ClavelLab/genome-assembly/blob/main/README.md,1,1
/ClavelLab/genome-assembly/blob/main/.snakemake-workflow-catalog.yml,1,1
