url_path,views_total,views_unique
/ClavelLab/genome-assembly/tree/main/workflow,5,1
/ClavelLab/genome-assembly,4,2
/ClavelLab/genome-assembly/blob/main/workflow/rules/quality_check.smk,4,1
/ClavelLab/genome-assembly/tree/main,4,1
/ClavelLab/genome-assembly/tree/main/workflow/rules,4,1
/ClavelLab/genome-assembly/tree/main/config,3,1
/ClavelLab/genome-assembly/issues,2,2
/ClavelLab/genome-assembly/blob/main/config/config.yaml,2,1
/ClavelLab/genome-assembly/blob/main/config/demo.tsv,2,1
/ClavelLab/genome-assembly/blob/main/workflow/rules/assembly.smk,2,1
