url_path,views_total,views_unique
/ClavelLab/genome-assembly,10,10
/ClavelLab/genome-assembly/tree/main/workflow,6,6
/ClavelLab/genome-assembly/blob/main/config/config.yaml,5,3
/ClavelLab/genome-assembly/tree/main/workflow/rules,4,4
/ClavelLab/genome-assembly/blob/main/workflow/Snakefile,3,2
/ClavelLab/genome-assembly/tree/main/workflow/scripts,3,2
/ClavelLab/genome-assembly/blob/main/README.md,3,1
/ClavelLab/genome-assembly/blob/main/config/demo.tsv,2,2
/ClavelLab/genome-assembly/blob/main/.snakemake-workflow-catalog.yml,2,2
/ClavelLab/genome-assembly/blob/main/workflow/rules/common.smk,2,2
