referrer,views_total,views_unique
github.com,248,6
nfdi4microbiota.github.io,153,1
knowledgebase.nfdi4microbiota.de,125,7
Bing,3,1
sandbox.cryptpad.info,2,1
Google,1,1
g17.worker.webconf.uni-marburg.de,1,1
