url_path,views_total,views_unique
/NFDI4Microbiota/nfdi4microbiota-knowledge-base,47,9
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/issues,27,3
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pulls,23,5
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pull/280,18,4
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/issues/282,11,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pull/280/files,8,3
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_RDM-Preserve/25-digital-preservation.md,7,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_Getting-Started/02-contributing.md,6,3
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pull/280/conflicts,6,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_How-We-Operate/01-governance-workflows.md,6,1
