url_path,views_total,views_unique
/NFDI4Microbiota/nfdi4microbiota-knowledge-base,11,5
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_RDM-Preserve/25-digital-preservation.md,10,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_Getting-Started/03-contributors.md,10,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_Research-Data-Management/04-fair.md,4,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pulls,4,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_Getting-Started/02-contributing.md,4,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/edit/main/docs/_Getting-Started/03-contributors.md,4,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/issues,4,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pull/218,3,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/issues/217,2,2
