url_path,views_total,views_unique
/NFDI4Microbiota/nfdi4microbiota-knowledge-base,10,5
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_Getting-Started/02-contributing.md,4,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/.github/workflows/build_and_deploy.yml,2,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/actions,1,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/actions/workflows/build_and_deploy.yml,1,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/issues,1,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/security,1,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/security/dependabot,1,1
