url_path,views_total,views_unique
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pull/280,9,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base,8,7
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pulls,5,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_RDM-Preserve/25-digital-preservation.md,4,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/142acda28539c22290c7099bad6fafbaac7f29e8/docs/_RDM-Preserve/25-digital-preservation.md,4,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_bibliography/references.bib,4,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/commit/142acda28539c22290c7099bad6fafbaac7f29e8,4,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pull/290,3,3
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pull/280/files,3,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pull/280/conflicts,2,1
