url_path,views_total,views_unique
/NFDI4Microbiota/nfdi4microbiota-knowledge-base,19,7
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/issues,11,4
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_Getting-Started/01-introduction.md,7,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/branches,5,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_Reproducible-Data-Analysis/04-resources.md,4,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pulls,4,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/tree/main/assets,4,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/tree/main/_layouts,4,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/issues/274,3,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pull/260,3,1
