time_iso8601,stars_cumulative
2022-09-12 00:00:00+00:00,1
2023-10-31 00:00:00+00:00,2
2024-01-26 00:00:00+00:00,3
2024-02-22 00:00:00+00:00,4
2024-02-28 00:00:00+00:00,5
2024-03-15 00:00:00+00:00,6
2024-06-10 00:00:00+00:00,7
2024-08-12 00:00:00+00:00,8
